# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	313
#@/user_id	0f127b04-fc54-4064-bd93-ce7d84c6d553
wo xiang rang 	我想讓	c=1 d=0.909373 t=313
wo zai 	我在	c=2 d=1.29948 t=313
wu xiao 	無效	c=2 d=1.80611 t=313
xi tong 	系統	c=1 d=1 t=300
xia 	下	c=1 d=1 t=307
xia mian 	下面	c=1 d=1 t=251
xia zai 	下載	c=2 d=1.94111 t=313
xian shi 	顯示	c=2 d=1.81293 t=313
xiang 	想	c=3 d=1.76132 t=313
xiang ba 	想把	c=1 d=1 t=266
xiao 	筱	c=1 d=0.970446 t=313
xie 	寫	c=0 d=0.0937067 t=313
xie cuo 	寫錯	c=0 d=0.1 t=278
xie yi ge 	寫一個	c=1 d=0.941765 t=313
xin 	鑫	c=0 d=0.0951229 t=313
xin xi 	信息	c=1 d=0.909373 t=313
xing 	星	c=0 d=0.099005 t=313
xiu gai 	修改	c=1 d=0.782705 t=313
xuan xiang 	旋向	c=1 d=0.932394 t=313
xuan xiang 	選項	c=1 d=1.07344 t=313
xuan xiang li mian 	選項裏面	c=1 d=0.937067 t=313
yan se 	顏色	c=1 d=0.97531 t=313
yao 	要	c=1 d=1 t=253
yao qiu 	要求	c=1 d=0.951229 t=313
ye 	也	c=1 d=0.923116 t=313
yi 	一	c=1 d=0.900325 t=313
yi ge 	一個	c=1 d=0.903718 t=313
yi jing 	已經	c=2 d=1.62948 t=313
yi lan 	一覽	c=0 d=0.1 t=281
yi shou dao 	已收到	c=1 d=0.895834 t=313
yi si 	意思	c=2 d=1.95084 t=313
yi wai 	以外	c=1 d=0.965605 t=313
yin cang 	隱藏	c=1 d=0.995012 t=313
yin cang wen jian 	隱藏文件	c=1 d=0.980199 t=313
yin liang 	音量	c=3 d=2.73831 t=301
yin ru 	引入	c=1 d=1 t=249
yong 	用	c=1 d=0.985112 t=313
yong fa 	用法	c=1 d=0.860708 t=313
you 	又	c=1 d=0.995012 t=313
you mei you 	有沒有	c=1 d=0.970446 t=313
yu yan 	語言	c=3 d=2.10166 t=313
yuan cheng 	遠程	c=2 d=1.7576 t=313
zai 	在	c=3 d=1.69813 t=313
zen 	怎	c=1 d=1 t=291
zen me 	怎麼	c=9 d=6.34927 t=313
zen me ban 	怎麼辦	c=1 d=0.923116 t=313
zen me shi xian 	怎麼實現	c=1 d=1 t=292
zen me yong 	怎麼用	c=1 d=0.869358 t=313
zeng da 	增大	c=1 d=1 t=303
zeng jia 	增加	c=2 d=1.3626 t=313
zhe li 	這裏	c=1 d=1 t=252
zhe li mian 	這裏面	c=1 d=1 t=259
zhe xie 	這些	c=4 d=3.41226 t=313
zhe yang 	這樣	c=1 d=0.869358 t=313
zhi ding 	制定	c=0 d=0.0965605 t=313
zhi ding 	指定	c=2 d=1.97032 t=313
zhi ding wen jian 	制定文件	c=1 d=0.970446 t=313
zhi zhen 	指針	c=1 d=0.932394 t=313
zhong duan 	終端	c=2 d=1.78856 t=313
zhun huan 	准環	c=1 d=0.865022 t=313
zhuo mian 	桌面	c=0 d=0.0878095 t=313
zhuo mian huan jing 	桌面環境	c=2 d=1.5728 t=313
zi dong 	自動	c=2 d=1.85558 t=313
zi fu chuan 	字符串	c=1 d=0.97531 t=313
